strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,sample_count,data_source,lab_sources
Afgoo,2.4,0.26,0.11,0.0092,0.0009,0.0041,0.0097,0.0039,0.0044,0.0002,0.0012,64,Lab-Aggregated (64 samples),"Analytical 360, SC Labs"
Chocolope,2.2,0.09,0.08,0.0039,0.0014,0.0061,0.0074,0.0025,0.0042,0.0001,0.0,63,Lab-Aggregated (63 samples),"Analytical 360, PSI Labs, SC Labs"
Northern Lights,3.6,0.22,0.22,0.005,0.0009,0.0056,0.0111,0.0036,0.0068,0.0006,0.0007,60,Lab-Aggregated (60 samples),"Analytical 360, PSI Labs, SC Labs"
ATF,2.7,0.13,0.19,0.003,0.0004,0.0064,0.0086,0.0034,0.0092,0.0011,0.0002,56,Lab-Aggregated (56 samples),Analytical 360
Grapefruit,2.3,0.14,0.14,0.0039,0.0019,0.005,0.0052,0.0016,0.0077,0.0007,0.0,56,Lab-Aggregated (56 samples),"Analytical 360, SC Labs"
Durban Poison,6.8,0.22,0.14,0.0024,0.0059,0.0056,0.0046,0.0022,0.0072,0.0104,0.0002,54,Lab-Aggregated (54 samples),"Analytical 360, PSI Labs, SC Labs"
Lavender,2.1,0.13,0.15,0.0035,0.0032,0.0044,0.0067,0.0051,0.0053,0.0012,0.0006,53,Lab-Aggregated (53 samples),"Analytical 360, PSI Labs, SC Labs"
Plushberry,2.3,0.1,0.07,0.0056,0.0024,0.0051,0.0112,0.0049,0.0029,0.0011,0.0,53,Lab-Aggregated (53 samples),"Analytical 360, PSI Labs"
Headband,7.3,0.16,0.11,0.0092,0.0072,0.0126,0.0053,0.0042,0.0106,0.001,0.0001,53,Lab-Aggregated (53 samples),"Analytical 360, PSI Labs, SC Labs"
Blue Cheese,0.8,0.16,0.06,0.0047,0.0042,0.0049,0.0116,0.005,0.0057,0.0008,0.0002,52,Lab-Aggregated (52 samples),"Analytical 360, PSI Labs, SC Labs"
Remedy,1.3,2.55,0.15,0.0032,0.0003,0.0021,0.0065,0.0017,0.0006,0.0002,0.0,52,Lab-Aggregated (52 samples),Analytical 360
Ace of Spades,0.8,0.11,0.08,0.0059,0.0035,0.0045,0.0105,0.0046,0.0048,0.0014,0.0,49,Lab-Aggregated (49 samples),"Analytical 360, PSI Labs"
The White,2.4,0.14,0.06,0.0023,0.0011,0.006,0.0025,0.0056,0.0063,0.0005,0.0,49,Lab-Aggregated (49 samples),"Analytical 360, PSI Labs, SC Labs"
God Bud,0.7,0.11,0.13,0.0029,0.0016,0.0037,0.0127,0.0031,0.0035,0.0005,0.0,49,Lab-Aggregated (49 samples),Analytical 360
Purple Arrow,0.9,0.15,0.19,0.0025,0.0001,0.0089,0.0087,0.005,0.0026,0.0009,0.0,49,Lab-Aggregated (49 samples),Analytical 360
Lemon Skunk,1.7,0.09,0.1,0.002,0.0055,0.0078,0.0141,0.0013,0.0059,0.0023,0.0,48,Lab-Aggregated (48 samples),"Analytical 360, PSI Labs, SC Labs"
Platinum Girl Scout Cookies,1.4,0.09,0.16,0.0021,0.0013,0.0076,0.014,0.0061,0.0129,0.0002,0.0,48,Lab-Aggregated (48 samples),"Analytical 360, PSI Labs, SC Labs"
Cynex,0.6,0.11,0.05,0.001,0.0006,0.0043,0.0148,0.0042,0.0105,0.0005,0.0,48,Lab-Aggregated (48 samples),Analytical 360
Cheese,2.4,0.12,0.06,0.0037,0.0032,0.0092,0.0099,0.0045,0.0081,0.0008,0.0,48,Lab-Aggregated (48 samples),"Analytical 360, PSI Labs, SC Labs"
BHO Blue Dream,6.4,0.49,0.21,0.0029,0.0049,0.017,0.0427,0.0141,0.0085,0.0021,0.0,47,Lab-Aggregated (47 samples),Analytical 360
Bubble Gum,2.8,0.12,0.09,0.0075,0.0029,0.0055,0.0085,0.004,0.0095,0.0003,0.0002,46,Lab-Aggregated (46 samples),"Analytical 360, PSI Labs, SC Labs"
Blackberry,1.1,0.14,0.08,0.0041,0.0002,0.0052,0.0072,0.0035,0.0057,0.0,0.0,44,Lab-Aggregated (44 samples),"Analytical 360, PSI Labs"
Romulan,0.8,0.12,0.16,0.0047,0.0002,0.0053,0.0084,0.0026,0.012,0.0009,0.0,44,Lab-Aggregated (44 samples),"Analytical 360, PSI Labs"
White Rhino,0.9,0.14,0.16,0.0047,0.0043,0.0043,0.0092,0.0023,0.0066,0.0015,0.0,43,Lab-Aggregated (43 samples),Analytical 360
Strawberry Cough,1.1,0.1,0.08,0.0246,0.0032,0.0059,0.0117,0.0113,0.0041,0.0012,0.0259,42,Lab-Aggregated (42 samples),"Analytical 360, PSI Labs, SC Labs"
Jack the Ripper,1.3,0.14,0.1,0.0019,0.0066,0.0038,0.009,0.0033,0.0041,0.0038,0.0004,42,Lab-Aggregated (42 samples),"Analytical 360, SC Labs"
Grand Daddy Purple,3.7,0.1,0.15,0.0188,0.0028,0.0088,0.0068,0.0135,0.0076,0.0002,0.0076,42,Lab-Aggregated (42 samples),"Analytical 360, PSI Labs, SC Labs"
Critical Mass,1.5,0.77,0.09,0.0035,0.0,0.0043,0.0076,0.0027,0.0074,0.0005,0.0,41,Lab-Aggregated (41 samples),Analytical 360
