strain_name,thc_percent,cbd_percent,cbn_percent,cannabinoid_source,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,terpene_source,primary_effects,medical_uses,effects_source,strain_type,type_source,data_quality,sample_count,lab_sources,manual_source
White Widow,18.0,0.1,0.0,Manual (Terpene Parser),0.0048,0.0021,0.0054,0.0138,0.0026,0.0071,0.0006,0.0001,"Lab-Verified (107 samples from Analytical 360, PSI Labs)","Energy,Euphoria,Creativity","Depression,Stress,Pain,Fatigue",Manual (Terpene Parser),Hybrid,Manual (Terpene Parser),Hybrid - Lab terpenes + Manual metadata,107,"Analytical 360, PSI Labs",Terpene Parser
Jack Herer,18.0,0.1,0.0,Manual (Strain Data Project),0.005,0.0064,0.0082,0.0127,0.0043,0.0055,0.0122,0.0005,"Lab-Verified (101 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Focus,Creativity,Euphoria","Depression,Fatigue,Stress,Focus",Manual (Strain Data Project),Sativa,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,101,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
Pineapple Express,19.0,0.1,0.0,Manual (Strain Data Project),0.0098,0.0027,0.0083,0.011,0.0144,0.0085,0.001,0.0001,"Lab-Verified (100 samples from Analytical 360, PSI Labs, SC Labs)","Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Manual (Strain Data Project),Hybrid,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,100,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
Bubba Kush,14.0,0.1,0.3,Manual (Mendeley Dataset),0.0025,0.0022,0.0054,0.0083,0.0025,0.0129,0.0003,0.0,"Lab-Verified (96 samples from Analytical 360, SC Labs)","Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Manual (Mendeley Dataset),Indica,Manual (Mendeley Dataset),Hybrid - Lab terpenes + Manual metadata,96,"Analytical 360, SC Labs",Mendeley Dataset
Super Silver Haze,1.3,0.09,0.12,Lab-Verified (94 samples),0.0045,0.0037,0.0056,0.0103,0.0022,0.0045,0.0011,0.0005,"Lab-Verified (94 samples from Analytical 360, SC Labs)",Sedation,"Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,94,"Analytical 360, SC Labs",None
Chernobyl,1.5,0.14,0.11,Lab-Verified (90 samples),0.0023,0.0054,0.0051,0.004,0.0049,0.0062,0.0019,0.0001,"Lab-Verified (90 samples from Analytical 360, PSI Labs, SC Labs)","Euphoria,Creativity","Anxiety,Stress",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,90,"Analytical 360, PSI Labs, SC Labs",None
Tahoe OG,2.4,0.12,0.17,Lab-Verified (85 samples),0.0034,0.0016,0.0049,0.0087,0.0059,0.0083,0.0003,0.0,"Lab-Verified (85 samples from Analytical 360, PSI Labs, SC Labs)",Happiness,"Anxiety,Insomnia",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,85,"Analytical 360, PSI Labs, SC Labs",None
Purple Kush,17.0,0.1,0.4,Manual (Mendeley Dataset),0.0044,0.0019,0.006,0.0062,0.0047,0.0069,0.0003,0.0004,"Lab-Verified (84 samples from Analytical 360, PSI Labs, SC Labs)","Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Manual (Mendeley Dataset),Indica,Manual (Mendeley Dataset),Hybrid - Lab terpenes + Manual metadata,84,"Analytical 360, PSI Labs, SC Labs",Mendeley Dataset
Permafrost,2.3,0.18,0.22,Lab-Verified (83 samples),0.0034,0.0034,0.0064,0.009,0.0041,0.0049,0.0005,0.0,"Lab-Verified (83 samples from Analytical 360, PSI Labs)",Happiness,"Pain,Anxiety,Insomnia",Auto-generated from terpene profile,Hybrid,Auto-classified from terpene profile,Lab-Only - All data from laboratory testing,83,"Analytical 360, PSI Labs",None
Cherry Pie,16.0,0.1,0.0,Manual (Strain Data Project),0.0054,0.0017,0.0081,0.0041,0.0038,0.0082,0.0002,0.0003,"Lab-Verified (80 samples from Analytical 360, PSI Labs, SC Labs)","Relaxation,Euphoria,Happiness","Stress,Pain,Anxiety,Insomnia",Manual (Strain Data Project),Hybrid,Manual (Strain Data Project),Hybrid - Lab terpenes + Manual metadata,80,"Analytical 360, PSI Labs, SC Labs",Strain Data Project
