strain_name,thc_percent,cbd_percent,cbn_percent,myrcene,limonene,caryophyllene,linalool,pinene,humulene,terpinolene,ocimene,primary_effects,medical_uses,strain_type,data_quality,sample_count,data_source,cbg_percent,thcv_percent,cbc_percent,cbdv_percent,sample_count
Chem Dawg,4.4,0.1,0.02,0.0046,0.0051,0.0076,0.0041,0.0041,0.0091,0.0017,0.0,"Euphoria,Creativity","Pain,Anxiety,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,33,"Lab-Verified: 33 samples from Analytical 360, PSI Labs, SC Labs",0.3913953488372093,0.06384615384615386,0.20316666666666666,0.01,99
LSD,2.8,0.16,0.08,0.0025,0.0033,0.0059,0.0032,0.0026,0.0053,0.0042,0.0,Creativity,Stress,Hybrid,Lab-Only - All data from laboratory testing,33,"Lab-Verified: 33 samples from Analytical 360, PSI Labs, SC Labs",0.8296153846153845,0.11571428571428573,0.11527272727272729,0.0,84
Skywalker OG,3.8,0.04,0.03,0.0075,0.0036,0.0049,0.0086,0.0038,0.0064,0.0004,0.0001,Relaxation,"Pain,Anxiety,Insomnia",Indica,Lab-Only - All data from laboratory testing,33,"Lab-Verified: 33 samples from Analytical 360, PSI Labs, SC Labs",0.6085999999999999,0.14363636363636365,0.3828571428571429,0.01,84
Snoop’s Dream,1.6,0.15,0.04,0.0046,0.0022,0.0047,0.0036,0.0062,0.0042,0.0011,0.0,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,33,Lab-Verified: 33 samples from Analytical 360,0.345,0.0,0.21086956521739125,0.0,49
Albert Walker,0.6,0.15,0.05,0.0014,0.0082,0.0045,0.0147,0.0042,0.0051,0.0012,0.0,"Sedation,Euphoria,Energy","Anxiety,Depression",Sativa,Lab-Only - All data from laboratory testing,32,Lab-Verified: 32 samples from Analytical 360,0.20333333333333334,0.0,0.236875,0.0,44
Purple Diesel,1.2,0.16,0.14,0.0062,0.0025,0.0049,0.008,0.0063,0.0095,0.0003,0.0,Relaxation,"Pain,Anxiety",Indica,Lab-Only - All data from laboratory testing,32,"Lab-Verified: 32 samples from Analytical 360, PSI Labs, SC Labs",0.5086666666666667,0.0775,0.1375609756097561,0.0,70
BHO Dutch Treat,5.0,0.44,0.4,0.0022,0.02,0.0113,0.0826,0.0071,0.0069,0.0044,0.0,"Sedation,Euphoria,Energy","Pain,Anxiety,Insomnia,Inflammation",Sativa,Lab-Only - All data from laboratory testing,31,Lab-Verified: 31 samples from Analytical 360,0.439,0.0,0.3870731707317073,0.0,69
Dairy Queen,0.7,0.14,0.1,0.0034,0.0096,0.0075,0.0081,0.003,0.0036,0.0004,0.0,"Euphoria,Energy,Creativity","Pain,Anxiety,Inflammation,Depression",Sativa,Lab-Only - All data from laboratory testing,31,Lab-Verified: 31 samples from Analytical 360,0.4656521739130434,0.08,0.11620689655172413,0.0,50
Fire OG,5.7,0.08,0.06,0.0047,0.0038,0.0061,0.0046,0.0031,0.0065,0.0002,0.0001,Happiness,"Pain,Stress",Hybrid,Lab-Only - All data from laboratory testing,31,"Lab-Verified: 31 samples from Analytical 360, PSI Labs, SC Labs",0.5071186440677967,0.2076923076923077,0.2467532467532468,0.01,129
Lemon OG,1.8,0.12,0.07,0.003,0.0028,0.0081,0.0049,0.0042,0.007,0.0004,0.0002,Happiness,"Pain,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,31,"Lab-Verified: 31 samples from Analytical 360, PSI Labs, SC Labs",0.3907317073170732,0.284,0.17950000000000002,0.0,66
True OG,4.6,0.18,0.18,0.0038,0.0018,0.0072,0.0026,0.0047,0.0095,0.0014,0.0,Happiness,"Pain,Inflammation",Hybrid,Lab-Only - All data from laboratory testing,31,"Lab-Verified: 31 samples from Analytical 360, SC Labs",0.6286666666666666,0.35000000000000003,0.22695652173913047,0.095,55
Blue Magoo,0.9,0.2,0.11,0.0032,0.0008,0.0039,0.0076,0.0068,0.0089,0.0004,0.0,Happiness,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,30,Lab-Verified: 30 samples from Analytical 360,0.7683333333333334,0.13,0.20023255813953486,0.0,56
Maui Wowie,13.0,0.1,0.0,0.006,0.007,0.0055,0.0206,0.0044,0.0091,0.0023,0.0,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Pain",Sativa,Hybrid - Lab terpenes + Manual metadata,30,Hybrid: Lab terpenes (30 samples) + Manual metadata,0.5347368421052631,0.39,0.31479999999999997,0.0,42
Blue City Diesel,1.0,0.16,0.11,0.0045,0.0016,0.0062,0.0076,0.0047,0.008,0.0004,0.0004,Happiness,"Pain,Anxiety",Hybrid,Lab-Only - All data from laboratory testing,28,Lab-Verified: 28 samples from Analytical 360,0.370952380952381,0.0,0.20833333333333334,0.0,42
Granddaddy Purple,17.0,0.1,0.5,0.0317,0.0025,0.0112,0.0133,0.0128,0.0081,0.0008,0.0145,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Appetite",Indica,Hybrid - Lab terpenes + Manual metadata,28,Hybrid: Lab terpenes (28 samples) + Manual metadata,0.7526666666666666,0.32,0.34103448275862064,0.0,40
Royal Kush,2.0,0.12,0.08,0.009,0.0004,0.0031,0.0034,0.0058,0.0088,0.0,0.0017,"Relaxation,Sedation","Pain,Insomnia",Indica,Lab-Only - All data from laboratory testing,28,"Lab-Verified: 28 samples from Analytical 360, SC Labs",0.16454545454545458,0.037500000000000006,0.09258064516129032,0.0,56
Black Jack,1.0,0.06,0.05,0.0032,0.0013,0.005,0.0059,0.0018,0.0038,0.0035,0.0019,Creativity,Stress,Hybrid,Lab-Only - All data from laboratory testing,27,"Lab-Verified: 27 samples from Analytical 360, SC Labs",0.28407407407407403,0.02666666666666666,0.08318181818181819,0.0,40
Hindu Kush,15.0,0.1,0.2,0.002,0.0029,0.0054,0.0047,0.0033,0.0112,0.0007,0.0,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Hybrid - Lab terpenes + Manual metadata,27,Hybrid: Lab terpenes (27 samples) + Manual metadata,0.5149999999999999,0.055,0.2236842105263158,0.0,55
Jilly Bean,1.2,0.09,0.07,0.0047,0.0008,0.0022,0.0042,0.0011,0.0032,0.0008,0.0004,Happiness,Stress,Hybrid,Lab-Only - All data from laboratory testing,27,"Lab-Verified: 27 samples from Analytical 360, PSI Labs, SC Labs",0.27440000000000003,0.29600000000000004,0.1547826086956522,0.0,62
Querkle,0.6,0.12,0.07,0.0056,0.0034,0.0047,0.005,0.004,0.0041,0.0008,0.0,Happiness,Stress,Indica,Lab-Only - All data from laboratory testing,27,Lab-Verified: 27 samples from Analytical 360,0.5755172413793104,0.08000000000000002,0.25461538461538463,0.0,64
Pineapple,1.4,0.14,0.05,0.0032,0.0034,0.0058,0.0108,0.0029,0.0055,0.0009,0.0018,Sedation,"Anxiety,Stress",Hybrid,Lab-Only - All data from laboratory testing,26,"Lab-Verified: 26 samples from Analytical 360, SC Labs",0.5556378600823044,0.20888888888888887,0.23098159509202457,0.125,523
Animal Cookies,0.9,0.08,0.04,0.0015,0.0016,0.0067,0.0006,0.0062,0.0077,0.0,0.0,Happiness,"Pain,Stress",Hybrid,Lab-Only - All data from laboratory testing,25,"Lab-Verified: 25 samples from Analytical 360, SC Labs",0.52125,0.060000000000000005,0.1591666666666667,0.0,50
Tangie,19.0,0.1,0.0,0.0096,0.0382,0.0072,0.0052,0.0112,0.0028,0.0018,0.0001,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Focus",Sativa,Hybrid - Lab terpenes + Manual metadata,25,Hybrid: Lab terpenes (25 samples) + Manual metadata,1.0950354609929076,0.3132467532467533,0.40475,0.045,183
9 Pound Hammer,18.0,0.1,0.4,0.56,0.08,0.22,0.08,0.04,0.02,0.0,0.0,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset,1.6099999999999999,0.19,0.18,0.0,7
Afghan Kush,15.0,0.1,0.3,0.55,0.1,0.22,0.08,0.03,0.02,0.0,0.0,"Sedation,Relaxation,Happiness","Insomnia,Pain,Stress,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Terpene Parser,0.6642857142857143,0.14,0.22111111111111115,0.0,17
Amnesia Haze,20.0,0.1,0.0,0.28,0.32,0.12,0.11,0.12,0.03,0.02,0.0,"Energy,Euphoria,Creativity","Depression,Stress,Fatigue,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Strain Data Project,0.39999999999999997,0.01,0.11727272727272728,0.0,24
Candyland,19.0,0.1,0.0,0.22,0.38,0.15,0.05,0.12,0.05,0.03,0.0,"Energy,Euphoria,Creativity","Depression,Fatigue,Stress,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Strain Data Project,0.5187096774193548,0.19333333333333333,0.26599999999999996,0.0,41
Chemdawg,19.0,0.1,0.0,0.4,0.25,0.2,0.05,0.08,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Pain,Stress,Depression,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset,0.3506666666666666,0.2925,0.1967567567567568,0.0,65
Do-Si-Dos,19.0,0.1,0.2,0.42,0.18,0.25,0.08,0.05,0.02,0.0,0.0,"Relaxation,Sedation,Euphoria","Insomnia,Pain,Stress,Appetite",Indica,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset,0.202,0.06,0.02,0.0,5
Gelato,18.0,0.1,0.1,0.38,0.22,0.22,0.1,0.06,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Pain,Stress,Insomnia,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project,0.3748529411764706,0.2394736842105263,0.29142857142857137,0.0,70
God's Gift,18.0,0.1,0.3,0.52,0.1,0.22,0.1,0.04,0.02,0.0,0.0,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Appetite",Indica,Manual-Only - Curated from research sources,1,Manual: Mendeley Dataset,0.33818181818181814,0.24,0.15,0.0,22
Purple Haze,16.0,0.1,0.0,0.3,0.28,0.12,0.08,0.15,0.05,0.02,0.0,"Energy,Euphoria,Creativity","Depression,Stress,Fatigue,Pain",Sativa,Manual-Only - Curated from research sources,1,Manual: Terpene Parser,0.17363636363636364,0.06333333333333334,0.11333333333333334,0.0,32
Purple Punch,18.0,0.1,0.3,0.54,0.08,0.2,0.12,0.04,0.02,0.0,0.0,"Sedation,Relaxation,Euphoria","Insomnia,Pain,Stress,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Strain Data Project,0.320625,0.3675,0.188,0.0,17
Runtz,19.0,0.1,0.1,0.4,0.28,0.18,0.08,0.04,0.02,0.0,0.0,"Relaxation,Euphoria,Creativity","Stress,Pain,Anxiety,Insomnia",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project,0.0,0.0,0.0,0.0,0
Wedding Cake,19.0,0.1,0.1,0.4,0.2,0.24,0.09,0.05,0.02,0.0,0.0,"Relaxation,Euphoria,Happiness","Pain,Stress,Insomnia,Anxiety",Hybrid,Manual-Only - Curated from research sources,1,Manual: Strain Data Project,0.18333333333333332,0.01,0.057999999999999996,0.0,14
Zkittlez,15.0,0.1,0.1,0.45,0.2,0.18,0.1,0.05,0.02,0.0,0.0,"Relaxation,Euphoria,Happiness","Stress,Pain,Insomnia,Anxiety",Indica,Manual-Only - Curated from research sources,1,Manual: Strain Data Project,0.2777272727272727,0.1366666666666667,0.19999999999999998,0.0,23
